code,label
"#include <stdio.h>
#include <stdlib.h>

// Structure for a node
struct Node {
    int data;
    struct Node* next;
};

// Function to print middle of linked list
void printMiddle(struct Node* head) {
    struct Node *slow = head;
    struct Node *fast = head;

    while (fast != NULL && fast->next != NULL) {
        fast = fast->next->next;
        slow = slow->next;
    }

    if (slow != NULL)
        printf(""Middle element: %d\n"", slow->data);
}

// Function to insert a node at beginning
void push(struct Node** head_ref, int new_data) {
    struct Node* new_node = (struct Node*) malloc(sizeof(struct Node));
    new_node->data = new_data;
    new_node->next = *head_ref;
    *head_ref = new_node;
}

// Function to print the linked list
void printList(struct Node* head) {
    while (head != NULL) {
        printf(""%d -> "", head->data);
        head = head->next;
    }
    printf(""NULL\n"");
}

// Main function
int main() {
    struct Node* head = NULL;

    // Creating linked list: 5->4->3->2->1
    push(&head, 1);
    push(&head, 2);
    push(&head, 3);
    push(&head, 4);
    push(&head, 5);

    printf(""Linked List:\n"");
    printList(head);

    printMiddle(head);

    return 0;
}",1
"#include <stdio.h>
#include <stdlib.h>

// Node structure
struct Node {
    int data;
    struct Node* next;
};

// Function to rotate the linked list counter-clockwise by k nodes
void rotate(struct Node** head_ref, int k) {
    if (k == 0 || *head_ref == NULL)
        return;

    struct Node* current = *head_ref;

    int count = 1;
    while (count < k && current != NULL) {
        current = current->next;
        count++;
    }

    if (current == NULL)
        return;

    struct Node* kthNode = current;

    while (current->next != NULL)
        current = current->next;

    current->next = *head_ref;
    *head_ref = kthNode->next;
    kthNode->next = NULL;
}

// Function to insert at front
void push(struct Node** head_ref, int data) {
    struct Node* new_node = (struct Node*) malloc(sizeof(struct Node));
    new_node->data = data;
    new_node->next = *head_ref;
    *head_ref = new_node;
}

// Function to print list
void printList(struct Node* head) {
    while (head != NULL) {
        printf(""%d -> "", head->data);
        head = head->next;
    }
    printf(""NULL\n"");
}

// Main function
int main() {
    struct Node* head = NULL;

    // Creating linked list: 60->50->40->30->20->10
    push(&head, 10);
    push(&head, 20);
    push(&head, 30);
    push(&head, 40);
    push(&head, 50);
    push(&head, 60);

    printf(""Original List:\n"");
    printList(head);

    rotate(&head, 4);

    printf(""Rotated List:\n"");
    printList(head);

    return 0;
}",1
"#include <stdio.h>
#include <stdlib.h>

// Define the node structure
struct Node {
    int data;
    struct Node* next;
};

// Function to delete the middle of linked list
void deleteMiddle(struct Node** head_ref) {
    if (*head_ref == NULL || (*head_ref)->next == NULL) {
        free(*head_ref);
        *head_ref = NULL;
        return;
    }

    struct Node *slow = *head_ref, *fast = *head_ref;
    struct Node *prev = NULL;

    while (fast != NULL && fast->next != NULL) {
        fast = fast->next->next;
        prev = slow;
        slow = slow->next;
    }

    prev->next = slow->next;
    free(slow);
}

// Function to insert node at front
void push(struct Node** head_ref, int data) {
    struct Node* new_node = (struct Node*) malloc(sizeof(struct Node));
    new_node->data = data;
    new_node->next = *head_ref;
    *head_ref = new_node;
}

// Function to print list
void printList(struct Node* head) {
    while (head != NULL) {
        printf(""%d -> "", head->data);
        head = head->next;
    }
    printf(""NULL\n"");
}

// Main function
int main() {
    struct Node* head = NULL;

    // Creating the list: 5->4->3->2->1
    push(&head, 1);
    push(&head, 2);
    push(&head, 3);
    push(&head, 4);
    push(&head, 5);

    printf(""Original List:\n"");
    printList(head);

    deleteMiddle(&head);

    printf(""List after deleting middle node:\n"");
    printList(head);

    return 0;
}",1
"#include <stdio.h>
#include <stdlib.h>

// Define the structure for a node
struct Node {
    int data;
    struct Node* next;
};

// Function to delete N nodes after M nodes
void deleteNafterM(struct Node* head, int M, int N) {
    struct Node* current = head;
    struct Node* temp;
    int count;

    while (current) {
        for (count = 1; count < M && current != NULL; count++)
            current = current->next;

        if (current == NULL)
            return;

        temp = current->next;
        for (count = 1; count <= N && temp != NULL; count++) {
            struct Node* t = temp;
            temp = temp->next;
            free(t);
        }

        current->next = temp;
        current = temp;
    }
}

// Function to insert node at beginning
void push(struct Node** head_ref, int new_data) {
    struct Node* new_node = (struct Node*) malloc(sizeof(struct Node));
    new_node->data = new_data;
    new_node->next = *head_ref;
    *head_ref = new_node;
}

// Function to print list
void printList(struct Node* head) {
    while (head != NULL) {
        printf(""%d -> "", head->data);
        head = head->next;
    }
    printf(""NULL\n"");
}

// Main function
int main() {
    struct Node* head = NULL;

    // Create list: 10->9->8->7->6->5->4->3->2->1
    for (int i = 1; i <= 10; i++) {
        push(&head, i);
    }

    printf(""Original List:\n"");
    printList(head);

    deleteNafterM(head, 2, 3);

    printf(""Modified List after deleting 3 nodes after every 2 nodes:\n"");
    printList(head);

    return 0;
}",1
"#include <stdio.h>
#include <stdlib.h>

// Node definition
struct Node {
    int data;
    struct Node* next;
};

// Function to merge alternate nodes of list2 into list1
void mergeAlternate(struct Node* head1, struct Node* head2) {
    struct Node* p1 = head1;
    struct Node* p2 = head2;
    struct Node* next1;
    struct Node* next2;

    while (p1 != NULL && p2 != NULL) {
        next1 = p1->next;
        next2 = p2->next;

        p1->next = p2;
        p2->next = next1;

        p1 = next1;
        p2 = next2;
    }
}

// Function to push node at head
void push(struct Node** head_ref, int data) {
    struct Node* new_node = (struct Node*) malloc(sizeof(struct Node));
    new_node->data = data;
    new_node->next = *head_ref;
    *head_ref = new_node;
}

// Print list
void printList(struct Node* head) {
    while (head != NULL) {
        printf(""%d -> "", head->data);
        head = head->next;
    }
    printf(""NULL\n"");
}

// Main function
int main() {
    struct Node* head1 = NULL;
    struct Node* head2 = NULL;

    // List1: 5->3->1
    push(&head1, 1);
    push(&head1, 3);
    push(&head1, 5);

    // List2: 6->4->2
    push(&head2, 2);
    push(&head2, 4);
    push(&head2, 6);

    printf(""Original List1:\n"");
    printList(head1);
    printf(""Original List2:\n"");
    printList(head2);

    mergeAlternate(head1, head2);

    printf(""Merged List:\n"");
    printList(head1);

    return 0;
}",1
"#include <stdio.h>
#include <stdlib.h>

// Node structure
struct Node {
    int data;
    struct Node* next;
};

// Function to detect loop using Floyd’s Cycle-Finding Algorithm
int detectLoop(struct Node* head) {
    struct Node *slow = head, *fast = head;

    while (slow && fast && fast->next) {
        slow = slow->next;
        fast = fast->next->next;

        if (slow == fast) {
            return 1; // Loop found
        }
    }
    return 0;
}

// Insert node at front
void push(struct Node** head_ref, int data) {
    struct Node* new_node = (struct Node*) malloc(sizeof(struct Node));
    new_node->data = data;
    new_node->next = *head_ref;
    *head_ref = new_node;
}

// Main function
int main() {
    struct Node* head = NULL;

    // Create linked list: 3->2->0->-4
    push(&head, -4);
    push(&head, 0);
    push(&head, 2);
    push(&head, 3);

    // Create loop for testing: link last node to second node
    head->next->next->next->next = head->next;

    if (detectLoop(head))
        printf(""Loop detected in linked list\n"");
    else
        printf(""No loop in linked list\n"");

    return 0;
}",1
"#include <stdio.h>
#include <stdlib.h>

// Node structure
struct Node {
    int data;
    struct Node* next;
};

// Function to remove duplicates from sorted list
void removeDuplicates(struct Node* head) {
    struct Node* current = head;

    while (current != NULL && current->next != NULL) {
        if (current->data == current->next->data) {
            struct Node* next_next = current->next->next;
            free(current->next);
            current->next = next_next;
        } else {
            current = current->next;
        }
    }
}

// Function to insert node at head
void push(struct Node** head_ref, int data) {
    struct Node* new_node = (struct Node*) malloc(sizeof(struct Node));
    new_node->data = data;
    new_node->next = *head_ref;
    *head_ref = new_node;
}

// Function to print list
void printList(struct Node* head) {
    while (head != NULL) {
        printf(""%d -> "", head->data);
        head = head->next;
    }
    printf(""NULL\n"");
}

// Main function
int main() {
    struct Node* head = NULL;

    // Sorted list with duplicates: 4->4->3->3->2->1->1
    push(&head, 1);
    push(&head, 1);
    push(&head, 2);
    push(&head, 3);
    push(&head, 3);
    push(&head, 4);
    push(&head, 4);

    printf(""Original List:\n"");
    printList(head);

    removeDuplicates(head);

    printf(""List after removing duplicates:\n"");
    printList(head);

    return 0;
}",1
"#include <stdio.h>
#include <stdlib.h>

// Node structure
struct Node {
    int data;
    struct Node* next;
};

// Function to sort a linked list of 0s, 1s and 2s
void sortList(struct Node* head) {
    int count[3] = {0, 0, 0};
    struct Node* ptr = head;

    while (ptr != NULL) {
        count[ptr->data]++;
        ptr = ptr->next;
    }

    int i = 0;
    ptr = head;
    while (ptr != NULL) {
        if (count[i] == 0)
            i++;
        else {
            ptr->data = i;
            count[i]--;
            ptr = ptr->next;
        }
    }
}

// Insert node at head
void push(struct Node** head_ref, int data) {
    struct Node* new_node = (struct Node*) malloc(sizeof(struct Node));
    new_node->data = data;
    new_node->next = *head_ref;
    *head_ref = new_node;
}

// Print list
void printList(struct Node* head) {
    while (head != NULL) {
        printf(""%d -> "", head->data);
        head = head->next;
    }
    printf(""NULL\n"");
}

// Main
int main() {
    struct Node* head = NULL;

    push(&head, 0);
    push(&head, 1);
    push(&head, 2);
    push(&head, 1);
    push(&head, 2);
    push(&head, 0);

    printf(""Original List:\n"");
    printList(head);

    sortList(head);

    printf(""Sorted List (0s, 1s, 2s):\n"");
    printList(head);

    return 0;
}",1
"#include <stdio.h>
#include <stdlib.h>

// Node structure
struct Node {
    int data;
    struct Node* next;
};

// Function to delete a node without head pointer
void deleteNode(struct Node* node_ptr) {
    if (node_ptr == NULL || node_ptr->next == NULL)
        return;

    struct Node* temp = node_ptr->next;
    node_ptr->data = temp->data;
    node_ptr->next = temp->next;
    free(temp);
}

// Push node
void push(struct Node** head_ref, int data) {
    struct Node* new_node = (struct Node*) malloc(sizeof(struct Node));
    new_node->data = data;
    new_node->next = *head_ref;
    *head_ref = new_node;
}

// Print list
void printList(struct Node* head) {
    while (head != NULL) {
        printf(""%d -> "", head->data);
        head = head->next;
    }
    printf(""NULL\n"");
}

// Main
int main() {
    struct Node* head = NULL;

    // Create list: 4->3->2->1
    push(&head, 1);
    push(&head, 2);
    push(&head, 3);
    push(&head, 4);

    printf(""Original List:\n"");
    printList(head);

    deleteNode(head->next); // Delete node with value 3

    printf(""After deleting a node without head pointer:\n"");
    printList(head);

    return 0;
}",1
"#include <stdio.h>
#include <stdlib.h>

// Node structure
struct QNode {
    int data;
    struct QNode* next;
};

// Queue structure
struct Queue {
    struct QNode *front, *rear;
};

// Function to create a new node
struct QNode* newNode(int k) {
    struct QNode* temp = (struct QNode*) malloc(sizeof(struct QNode));
    temp->data = k;
    temp->next = NULL;
    return temp;
}

// Function to create a queue
struct Queue* createQueue() {
    struct Queue* q = (struct Queue*) malloc(sizeof(struct Queue));
    q->front = q->rear = NULL;
    return q;
}

// Enqueue function
void enqueue(struct Queue* q, int k) {
    struct QNode* temp = newNode(k);

    if (q->rear == NULL) {
        q->front = q->rear = temp;
        return;
    }

    q->rear->next = temp;
    q->rear = temp;
}

// Dequeue function
void dequeue(struct Queue* q) {
    if (q->front == NULL)
        return;

    struct QNode* temp = q->front;
    q->front = q->front->next;

    if (q->front == NULL)
        q->rear = NULL;

    free(temp);
}

// Print queue
void printQueue(struct Queue* q) {
    struct QNode* temp = q->front;
    while (temp != NULL) {
        printf(""%d -> "", temp->data);
        temp = temp->next;
    }
    printf(""NULL\n"");
}

// Main
int main() {
    struct Queue* q = createQueue();

    enqueue(q, 10);
    enqueue(q, 20);
    enqueue(q, 30);

    printf(""Queue: "");
    printQueue(q);

    dequeue(q);

    printf(""After dequeue: "");
    printQueue(q);

    return 0;
}",1
